node_id,region,ServerOrClientregion,cluster_id,key_file,clientID,ServerID, PublicIp
0, 'europe-west3-c', 0, 0, 'FKA.pem', -1, 0,
1, 'europe-west3-c', 0, 0, 'FKA.pem', -1, 1,
2, 'europe-west3-c', 0, 0, 'FKA.pem', -1, 2,
3, 'europe-west3-c', 0, 0, 'FKA.pem', -1, 3,
4, 'europe-west3-c', 0, 1, 'FKA.pem', -1, 4,
5, 'europe-west3-c', 0, 1, 'FKA.pem', -1, 5,
6, 'europe-west3-c', 0, 1, 'FKA.pem', -1, 6,
7, 'europe-west3-c', 0, 1, 'FKA.pem', -1, 7,
8, 'europe-west3-c', 0, 1, 'FKA.pem', -1, 8,
9, 'europe-west3-c', 1, -1, 'FKA.pem', 0, -1,
10, 'europe-west3-c', 1, -1, 'FKA.pem', 1, -1,
11, 'asia-south1-c', 0, 2, 'FKE.pem', -1, 9,
12, 'asia-south1-c', 0, 2, 'FKE.pem', -1, 10,
13, 'asia-south1-c', 0, 2, 'FKE.pem', -1, 11,
14, 'asia-south1-c', 0, 2, 'FKE.pem', -1, 12,
15, 'asia-south1-c', 0, 2, 'FKE.pem', -1, 13,
16, 'asia-south1-c', 1, -1, 'FKE.pem', 2, -1,
